Jogador,Finalização,Coordenada X,Coordenada Y,Local do Gol
Maurício,miss,22.4,39.2,left
Bruno Henrique,block,12.5,31.8,low-left
Carlos De Pena,block,26.6,62.7,low-centre
Luiz Adriano,goal,12.1,60.9,low-centre
Enner Valencia,goal,14.7,28.9,low-left
Fabricio Bustos,goal,21.4,67.8,low-left
Maurício,block,11.1,47.8,low-left
Wanderson,goal,8.5,36.7,low-centre
Enner Valencia,save,2.8,42.1,low-centre
Enner Valencia,goal,11.0,41.9,low-right
Enner Valencia,miss,8.8,65.5,close-high
Alan Patrick,goal,19.4,57.5,low-left
Charles Aránguiz,miss,23.5,54.4,left
Kevyson,goal,2.8,53.2,low-right
